symbol,company,title,description,content,url,published_at,source
RELIANCE.NS,Reliance Industries,"Canara Bank withdraws order classifying Anil Ambani's loan account ‘fraudulent,’ informs Bombay High Court","Canara Bank withdraws order classifying Anil Ambani's loan account ‘fraudulent,’ informs Bombay High Court","Canara Bank on Thursday, 10 July 2025, informed the Bombay High Court that the institutional lender has withdrawn its order classifying Reliance Group founder Anil Ambani's loan account as fraudulent… [+93 chars]",https://www.livemint.com/industry/banking/canara-bank-withdraws-order-classifying-anil-ambanis-loan-account-fraudulent-informs-bombay-high-court-11752136539179.html,2025-07-10 08:49:01+00:00,Livemint
RELIANCE.NS,Reliance Industries,Debt isn’t the enemy: It offers many Indian households a lifeline,"The size and weight of debt burdens differ vastly by the livelihoods of debtors. These details of data offer cues for policy responses. Let’s expand the reach of formal loans, link health and credit policies, push for more productive borrowings, reform farmer…","As India marches towards its $5 trillion economic goal, the discourse around household debt tends to veer towards alarm. Rising indebtedness is often viewed as a red flaga symptom of financial stress… [+6601 chars]",https://www.livemint.com/opinion/online-views/india-household-debt-financial-inclusion-self-employed-informal-lending-debt-to-income-ratio-mudra-loans-jan-dhan-yojana-11752071798773.html,2025-07-10 08:30:18+00:00,Livemint
RELIANCE.NS,Reliance Industries,"To change the world, India Inc must stop hoarding cash and take more risks","A bet on smartphones in the 2000s turned Apple into one of the world's most valuable and influential companies, and Google's $1.65-billion buyout of YouTube in 2006 brought in more than $36 billion of revenue in 2024. Why are there are no such stories in Indi…","India Inc is sitting on an unprecedented mountain of cash. A Mint analysis of 285 listed entities (excluding banking, finance and insurance companies, which have some statutory cash requirements) sho… [+4987 chars]",https://www.livemint.com/opinion/online-views/india-inc-cash-reserves-corporate-cash-pile-india-fy25-corporate-profits-indian-companies-capex-nifty-500-cash-11752067174455.html,2025-07-10 03:30:10+00:00,Livemint
RELIANCE.NS,Reliance Industries,Ambani's Reliance Jio delays India IPO beyond this year: Report,"US-RELIANCE-JIO-INDIA-IPO:Exclusive-Ambani's Reliance Jio delays India IPO beyond this year, sources say","NEW DELHI/SYDNEY (Reuters) -Indian telecoms and digital giant Reliance Jio Platforms, led by billionaire Mukesh Ambani, has decided not to launch its planned IPO this year, delaying one of the countr… [+3768 chars]",https://www.livemint.com/companies/news/ambanis-reliance-jio-delays-india-ipo-beyond-this-year-report-11752071301806.html,2025-07-09 14:36:35+00:00,Livemint
RELIANCE.NS,Reliance Industries,Delhi HC cracks down on fraudsters using Reliance Retail's ‘Tira’ trademark to dupe customers: Here's what happened,"The Delhi High Court ruled against the unauthorised use of Reliance Retail's Tira trademark after a widespread scam of impersonation and fraud came to light. The court recorded over 8,900 victims of the scam from all over India.","The Delhi High Court has restrained various persons and entities from illicitly using Reliance Retail Limiteds Tira trademark.
The ruling on July 7, 2025, came in response to a trademark case filed … [+2641 chars]",https://www.livemint.com/companies/news/delhi-hc-cracks-down-on-fraudsters-using-reliance-retails-tira-trademark-to-dupe-customers-heres-what-happened-11752062517288.html,2025-07-09 13:24:22+00:00,Livemint
RELIANCE.NS,Reliance Industries,Balance please: Watch the ‘Masala’ pinch of an India-US mini trade deal,"As time ticks away for a mini India-US trade deal, New Delhi should resist getting caught in Trump’s tariff trap. He has shown a preference for ‘Masala’ deals: ‘Mutually Agreed Settlements Achieved through Leveraged Arm-twisting.’","World trade has turned into a reality show, with Trump pulling the strings and expecting countries to follow his lead. On 7 July 2025, US President Donald Trump escalated his trade offensive with a f… [+5675 chars]",https://www.livemint.com/opinion/online-views/donald-trump-tariffs-wto-rules-brics-summit-digital-trade-foreign-investment-h1b-visas-national-security-ethanol-imports-11752052787716.html,2025-07-09 10:59:04+00:00,Livemint
RELIANCE.NS,Reliance Industries,"From sweet to synthetic: Balrampur Chini's ₹2,850 crore plastic gamble","As climate risks and regulation squeeze the sugar industry, Balrampur Chini is betting big on biodegradable plastics to future-proof its business—but the path is far from risk-free.","Mumbai: With Indias sugar sector increasingly constrained by government price controls and climate volatility, Balrampur Chini Mills is making a 2,850-crore wager on a new growth engine: bioplastics.… [+6087 chars]",https://www.livemint.com/companies/news/balrampur-chini-cane-sugar-diversification-rs-2850-crore-pla-plant-biodegradable-plastic-11751981192785.html,2025-07-09 07:49:46+00:00,Livemint
RELIANCE.NS,Reliance Industries,"Madhav Sheth, who once led Realme to success in India, returns with a steep hill to climb","Can Madhav Sheth, who helped Chinese smartphone brand Realme emerge from obscurity in India, succeed in a market that even Reliance Jio hasn't been able to crack?","New Delhi: A new homegrown brand has announced its entry into Indias cutthroat smartphone market with two sub- 10,000 devices, aiming to convert the nearly 200 million users who still use feature pho… [+5419 chars]",https://www.livemint.com/industry/madhav-sheth-sub-10-000-smartphones-feature-phone-users-11751978289872.html,2025-07-08 14:42:07+00:00,Livemint
RELIANCE.NS,Reliance Industries,Mint Quick Edit | Opec’s scramble is doing India a good turn,The oil cartel plans to increase supply yet again in a lunge for market share as crude prices sag. This suits India fine.,"War clouds over Iran have cleared, even though US President Donald Trumps tariff policy has impacted global demand conditions. As it happens, both these factors favour crude oil consumers. 
On Monda… [+1211 chars]",https://www.livemint.com/opinion/online-views/brent-crude-opec-production-global-oil-market-india-imports-petroleum-prices-trade-disruption-opec-donald-trump-tariffs-11751899929367.html,2025-07-08 01:30:06+00:00,Livemint
RELIANCE.NS,Reliance Industries,"IndianOil preparing new strategy for N-power, not interested in Nayara stake: Chairman Sahney","Ten years ago, Indian Oil tied up with NPCIL for a nuclear power project, but that did not make headway. Now, the refiner is taking a fresh look at N-power, at a time the sector is back in the spotlight.","Indian Oil Corp. Ltd is preparing a new strategy to build small modular reactors (SMR) and large nuclear power plants in the country, chairman Arvinder Singh Sahney said.
India's largest oil refiner… [+3850 chars]",https://www.livemint.com/companies/news/indian-oil-preparing-new-strategy-nuclear-power-not-interested-acquiring-stake-in-nayara-indianoil-chairman-arvinder-11751796795142.html,2025-07-08 00:00:19+00:00,Livemint
