company,date,headline,content,full_text,source,url
TCS.NS,2025-07-10 23:52:37.511901,TCS participates in industry conference,"According to latest reports, tcs participates in industry conference. Industry experts are closely monitoring the developments. More details are expected to be announced soon.","TCS participates in industry conference According to latest reports, tcs participates in industry conference. Industry experts are closely monitoring the developments. More details are expected to be announced soon.",Mint,https://example.com/news/5413
INFY.NS,2025-07-10 15:44:37.511901,INFY updates on business operations,"According to latest reports, infy updates on business operations. Industry experts are closely monitoring the developments. More details are expected to be announced soon.","INFY updates on business operations According to latest reports, infy updates on business operations. Industry experts are closely monitoring the developments. More details are expected to be announced soon.",ET,https://example.com/news/8400
RELIANCE.NS,2025-07-10 12:00:37.511901,RELIANCE reports 19% decline in profits,"According to latest reports, reliance reports 19% decline in profits. Industry experts are closely monitoring the developments. More details are expected to be announced soon.","RELIANCE reports 19% decline in profits According to latest reports, reliance reports 19% decline in profits. Industry experts are closely monitoring the developments. More details are expected to be announced soon.",NDTV,https://example.com/news/3062
HDFCBANK.NS,2025-07-10 05:07:37.511901,HDFCBANK announces board meeting on July 10,"According to latest reports, hdfcbank announces board meeting on july 10. Industry experts are closely monitoring the developments. More details are expected to be announced soon.","HDFCBANK announces board meeting on July 10 According to latest reports, hdfcbank announces board meeting on july 10. Industry experts are closely monitoring the developments. More details are expected to be announced soon.",MC,https://example.com/news/8996
HDFCBANK.NS,2025-07-10 01:11:37.511901,HDFCBANK updates on business operations,"According to latest reports, hdfcbank updates on business operations. Industry experts are closely monitoring the developments. More details are expected to be announced soon.","HDFCBANK updates on business operations According to latest reports, hdfcbank updates on business operations. Industry experts are closely monitoring the developments. More details are expected to be announced soon.",ET,https://example.com/news/6854
ITC.NS,2025-07-09 14:05:37.511901,ITC shares fall 13% on weak outlook,"According to latest reports, itc shares fall 13% on weak outlook. Industry experts are closely monitoring the developments. More details are expected to be announced soon.","ITC shares fall 13% on weak outlook According to latest reports, itc shares fall 13% on weak outlook. Industry experts are closely monitoring the developments. More details are expected to be announced soon.",Mint,https://example.com/news/1412
TCS.NS,2025-07-09 02:02:37.511901,TCS reports 5% increase in quarterly revenue,"According to latest reports, tcs reports 5% increase in quarterly revenue. Industry experts are closely monitoring the developments. More details are expected to be announced soon.","TCS reports 5% increase in quarterly revenue According to latest reports, tcs reports 5% increase in quarterly revenue. Industry experts are closely monitoring the developments. More details are expected to be announced soon.",MC,https://example.com/news/4510
KOTAKBANK.NS,2025-07-09 00:07:37.511901,KOTAKBANK participates in industry conference,"According to latest reports, kotakbank participates in industry conference. Industry experts are closely monitoring the developments. More details are expected to be announced soon.","KOTAKBANK participates in industry conference According to latest reports, kotakbank participates in industry conference. Industry experts are closely monitoring the developments. More details are expected to be announced soon.",ET,https://example.com/news/7530
TCS.NS,2025-07-08 16:23:37.511901,TCS CEO steps down after accounting,"According to latest reports, tcs ceo steps down after accounting. Industry experts are closely monitoring the developments. More details are expected to be announced soon.","TCS CEO steps down after accounting According to latest reports, tcs ceo steps down after accounting. Industry experts are closely monitoring the developments. More details are expected to be announced soon.",ET,https://example.com/news/2306
RELIANCE.NS,2025-07-07 14:07:37.511901,RELIANCE participates in industry conference,"According to latest reports, reliance participates in industry conference. Industry experts are closely monitoring the developments. More details are expected to be announced soon.","RELIANCE participates in industry conference According to latest reports, reliance participates in industry conference. Industry experts are closely monitoring the developments. More details are expected to be announced soon.",Mint,https://example.com/news/2899
INFY.NS,2025-07-06 20:36:37.511901,INFY announces board meeting on July 06,"According to latest reports, infy announces board meeting on july 06. Industry experts are closely monitoring the developments. More details are expected to be announced soon.","INFY announces board meeting on July 06 According to latest reports, infy announces board meeting on july 06. Industry experts are closely monitoring the developments. More details are expected to be announced soon.",ET,https://example.com/news/6423
